id,stars,lat,lon
Harvey's Restaurants,4.5,43.48473647,-80.52632041
Sogo Cuisine,4.5,43.4704487,-80.5939264
Village Shawarma,3.5,43.4770992,-80.5256905
Harmony Lunch,4,43.4682298,-80.5230569
J & B Family Restaurant,5,43.45427631,-80.4947348
New Asia Fast Food,3,43.4842604,-80.5265216
Freshii,4.5,43.4770992,-80.5256905
Jack Astor's Bar & Grill,3,43.42345529,-80.43896689
Delta Waterloo,4.5,43.46342042,-80.52803862
Dearborn Restaurant,3,43.4868458,-80.517072
The New Dundee Emporium,3.5,43.3520137,-80.535921
Lion Brewery Restaurant,2.5,43.466999,-80.523219
Hong Kong Seafood Restaurant,4,43.4130187,-80.4788772
Wimpy's Diner,3,43.4313627,-80.4378024
Raintree Cafe,4.5,43.4752375,-80.5243892
Quick Sandwiches,3,43.4773047,-80.5257335
Two Goblets Restaurant,4.5,43.4538736,-80.4922923
Swiss Chalet Rotisserie & Grill,2.5,43.479372,-80.521769
South Street Burger Company,3,43.44087,-80.565162
Bombay Bhel,4,43.40791508,-80.39623847
Marble Slab Creamery,3.5,43.4722862,-80.5369264
Do Eat Chinese Restaurent,3.5,43.47294191,-80.53505791
Cafe 22,4.5,43.4646959,-80.5220555
Checkerboard Restaurant,4,43.4538467,-80.5183238
Jumbo Dragon,4,43.4555894,-80.4305223
Firkin at the Tannery,3,43.451609,-80.4979235
China Legend,3,43.472285,-80.5380519
Failte Irish Pub,3,43.467973,-80.523383
Edelweiss Sports Bar & Grill,4,43.398491,-80.446207
WingsUp!,3,43.433293,-80.448766
The Boathouse,3.5,43.4471282,-80.4956966
Pizza Hut,3.5,43.47822,-80.518259
New City Supermarket,3.5,43.448314,-80.485116
Courtyard by Marriott Waterloo St. Jacobs,4,43.5064698,-80.5554736
Cafe O Roaster & Bakery,4.5,43.4632991,-80.4647222
Suki Sushi,3.5,43.45468436,-80.54612355
Cora's Breakfast & Lunch,3.5,43.42381,-80.484565
White Rabbit,3.5,43.46640839,-80.52286609
Bianca's Pizza,3.5,43.48214351,-80.52659195
Nostra Cucina,5,43.41640085,-80.45122931
Tasty Home Kitchen,4.5,43.4762793,-80.5256009
Pizza Prosciutto,5,43.4183796,-80.5001275
Pho dau Bo,2.5,43.41545078,-80.51139137
Region of Waterloo International Airport YKF,4.5,43.4559569,-80.3860912
Popeye's Chicken,2.5,43.47813546,-80.51864785
St. Louis Bar & Grill,3,43.511125,-80.5216805
1001 Nights Shawarma,5,43.4190681,-80.4691717
Fusion,3.5,43.3946203,-80.3559723
Cambridge Butterfly Conservatory,4,43.45106,-80.369717
The Daily Grill,4,43.50376245,-80.52925057
Boston Pizza,3,43.502519,-80.535225
Janet Lynn's Bistro,4,43.4531349,-80.5179115
Nougat Bakery and Delicatessen,3.5,43.4432022,-80.4962371
Bobby O'Brien's Irish Pub,2.5,43.4503865,-80.4917302
Red Ginger Modern Thai & Viet cuisine,4,43.4361617,-80.5135767
"""Four Points by Sheraton Cambridge Kitchener, Ontario""",4.5,43.399026,-80.3775162
Research In Motion,2.5,43.4782729,-80.5429494
Chicago,2,43.42375955,-80.48394084
BaBa's Chinese Kitchen,3,43.472285,-80.5380519
Big Tex's Burgers & BBQ,4,43.4777702,-80.5254079
Coffee Culture,3,43.4357667,-80.56125551
Pure Juice Bar + Kitchen,4,43.4515061,-80.4949934
Bangkok Cuisine,4.5,43.4311344,-80.4378232
Thrive Energy Lab,4.5,43.459564,-80.5187658
Balzac's Coffee,3,43.4515074,-80.4980354
Pupuseria Latinos,4.5,43.4472061,-80.4849732
Molly Bloom's Irish Pub,3,43.47302591,-80.53736743
The Works,4,43.4195716,-80.4474237
Jacob's Grill,2.5,43.5391262,-80.5534626
Martini's,3,43.4290777,-80.4327628
Harvey's Restaurants,3.5,43.471747,-80.538687
Pierogi House,4,43.4077478,-80.3962906
Miltons Restaurant,3,43.4284856,-80.4335254
Union Burger,3,43.4514307,-80.4944781
Thai Bistro,3.5,43.4546956,-80.518918
Highland Halal Shawarma,4.5,43.4407758,-80.5067343
The Inn of Waterloo,3,43.4903373,-80.5299834
Almadina Woodstone Oven & Grill,3.5,43.4357503,-80.5608444
Popeyes Louisiana Kitchen,2,43.4248928,-80.4840362
Casa Rugantino,4.5,43.4538437,-80.5183849
Sonny's Drive-In Limited,3.5,43.478765,-80.519886
Red Lobster,3.5,43.4379383,-80.4604412
Koh I-Noor Restaurant,3.5,43.484638,-80.5406843
Nova Era Bakery,3,43.4473992,-80.4830766
Kavabean Bistro,4,43.45018539,-80.49303939
Mambella's,3.5,43.4767552,-80.5413197
Wild Wing,2.5,43.415803,-80.510377
Bread Heads,4,43.4506448,-80.4877146
Rolling Pepper Hotpot,4.5,43.4654191,-80.5220724
Settlement,4,43.4657281,-80.5227795
Stone Crock,3.5,43.5386529,-80.5536705
Ennio's Pasta House,4,43.4196748,-80.4508093
Leung Yue Hot Pot,3.5,43.4391999,-80.4645136
Sowon,3,43.4729458,-80.5355568
Rana Döner Kebabs,4,43.4517986,-80.4951934
Angel's Family Restaurant,3.5,43.47605336,-80.51730389
Morals Village,3.5,43.472285,-80.5380519
Crowne Plaza Kitchener-Waterloo,2.5,43.449028,-80.487707
Pepi's Pizza,2.5,43.454132,-80.492957
University of Waterloo,4,43.4692268,-80.5403525
Lisboa Bakery & Grill,4,43.40568007,-80.50210813
Pho Bistro,4,43.40855178,-80.40020544
Breadbaron Sandwiches,4.5,43.4476773,-80.483839
Pho-Nomenom Restaurant Vietnamese & Thai Cuisine,2,43.47424731,-80.5358275
Korner Kitchen,4.5,43.4730075,-80.4349163
Metro Restaurant,3.5,43.455928,-80.4911879
Rainbow Caribbean Cuisine,4,43.4493844,-80.488745
CaliBurger,2.5,43.4773047,-80.5257335
East African Cafe,4,43.449701,-80.491079
King's Buffet,3.5,43.4194574,-80.4434754
East Side Mario's,2.5,43.4876796,-80.5262205
Concordia Club,4,43.4315337,-80.4793437
Phil's Grandson's Place,4.5,43.4752375,-80.5243892
Thai Sun,3,43.4635366,-80.5235711
Empress of India,4,43.46879097,-80.52383132
The Belmont,4,43.4537642,-80.5183314
Tres Chiles,3.5,43.484427,-80.5408376
Williamsburg Arms,3.5,43.40515681,-80.50161159
The Bent Elbow,4,43.4302141,-80.4363464
Levetto,4,43.52149,-80.498612
McCabe's Irish Pub & Grill,3.5,43.4521681,-80.495704
Jia Jia Lok Chinese Restaurant,4,43.4773047,-80.5257335
Yummyaki Japanese Restaurant,3.5,43.5026116,-80.52763721
Classic Indian Restaurant,4,43.505171,-80.524968
Marbles Restaurant,3.5,43.462251,-80.5210309
Sam's Chinese Kitchen,3.5,43.4591015,-80.4810254
Ellison's Bistro,4,43.4497651,-80.491637
Conestoga Mall,3.5,43.4977272,-80.5283258
Kickoff,5,43.472775,-80.53796
Lin Hai Sushi,4,43.434352,-80.428073
Exclamation,4.5,43.450476,-80.4868599
Mango King,4,43.387164,-80.411922
Gilt Restaurant,4,43.45157574,-80.4946334
Fat Bastard Burrito Co,3,43.47687489,-80.52544009
Golden Turtle Restaurant,3.5,43.4519271,-80.4952468
Holy Guacamole Fresh Mex,3.5,43.4507953,-80.4880976
Crystal Palace Restaurant,3,43.4649897,-80.5219981
Bubble Tease Resto Bar Cafe,2.5,43.47280754,-80.5375756
Cora's,3.5,43.4638688,-80.522773
The Duke of Wellington,3.5,43.4647764,-80.5238181
Deli Banh Mi Givral,4.5,43.44836,-80.4854713
Twice the Deal Pizza,3.5,43.484483,-80.52628
Hot Wheels Tea House,4,43.4655488,-80.5222337
The Grill Burger Kitchen,3,43.47249218,-80.53706555
Mandarin Restaurant - Kitchener,3,43.4107049,-80.3991116
Johnny Fresco,3.5,43.47796871,-80.5189731
Mr Lee's Hair Fashions,4.5,43.4529157,-80.5180694
Dels Enoteca Pizzeria,3.5,43.42898,-80.432996
Seoul Soul,2,43.47224554,-80.53889201
Mr Panino,3.5,43.472285,-80.5380519
Matter of Taste,4.5,43.4504768,-80.4913974
Keg Steakhouse & Bar,4,43.5031844,-80.5303193
Sushi Star,4,43.4466721,-80.4820681
Southern Ontario Smoked BBQ,3.5,43.435174,-80.51601
Grab A Greek,3.5,43.472713,-80.53790962
Rustic Slice,4,43.3964544,-80.4620831
Ye's Buffet,2.5,43.5019785,-80.5338427
Ye's Sushi,3.5,43.40917046,-80.392713
Seven Shores Urban Market and Cafe,4.5,43.465845,-80.521127
Ben Thanh,3,43.4210675,-80.4470736
Barley Works Bar & Grill,2.5,43.466999,-80.523219
Taste of Philly Cheesesteak,3.5,43.4505241,-80.4909201
Home Garden Taste of Taiwan,4,43.472285,-80.5380519
Coffee Culture,3,43.465863,-80.522812
Campus Pizza,3,43.47218917,-80.53811643
Almadina Egyptian Cuisine,2.5,43.47263314,-80.53623215
The Pita Factory,4,43.47257126,-80.53817979
Sole Restaurant & Wine Bar,4,43.46311197,-80.52657246
China Garden Restaurant,3.5,43.476597,-80.523069
Mongolian Grill,2,43.47221348,-80.53918532
The Yeti,4,43.44822,-80.484297
Princess Cafe,4.5,43.4665383,-80.5225426
East Side Mario's,2,43.4715605,-80.53833433
Modern India Restaurant,3,43.4069025,-80.3966612
Kismet Restaurant,3,43.472091,-80.536591
Mediterraneo Family Restaurant,4,43.4893406,-80.4923337
The Berlin,4.5,43.45000544,-80.48989903
Honey Bake Shop,4,43.4628918,-80.521758
Cafe Pyrus,4,43.4496385,-80.4916992
Masala Bay Fine Indian Dining,3.5,43.4657569,-80.5221353
Sakura Island Restaurant,3.5,43.4773047,-80.5257335
Public Kitchen & Bar,4.5,43.4687616,-80.484322
271 West,4.5,43.4514794,-80.4940984
Country Boy Family Restaurant,4,43.4181002,-80.4540932
Fireside Deli & Family Restaurant,3,43.4230171,-80.4887735
Sabletine Fine Pastries,4,43.4594631,-80.5180074
Mikey's Eatery,3,43.47231231,-80.53800241
Jane Bond Cafe,4,43.466627,-80.523331
Langdon Hall,4.5,43.38148973,-80.37196992
Smoke's Poutinerie,2.5,43.47763158,-80.52566595
The Crazy Canuck,4,43.50949739,-80.55793485
Zoup!,4,43.46340486,-80.52301881
Ethel's Lounge,3.5,43.4692451,-80.5232652
Noon Moment,4.5,43.47521383,-80.52349315
The Olde Heidelberg Restaurant Tavern & Motel,3,43.520394,-80.619725
Vegetarian Fastfood Restaurant,3.5,43.471891,-80.537082
itamae AYCE Sushi,2.5,43.4766504,-80.5252519
Shawerma Plus,4,43.4752375,-80.5243892
Sugar Marmalade,3.5,43.47264513,-80.53411994
Mr. Sushi,2.5,43.47291496,-80.53543087
Fork and Cork Grill,4.5,43.4317835,-80.4386514
Chen's Oriental Cuisine,3,43.471733,-80.538645
Famoso Neapolitan Pizzeria,4,43.4646939,-80.5223045
Chatime Waterloo,4,43.47727395,-80.52549865
Hog Tails Barbeque,4.5,43.4707272,-80.5931956
Jack's Family Restaurant,3,43.5086084,-80.5553815
Frat Burger,4,43.47610538,-80.52577913
Waterloo Star,3.5,43.47275372,-80.53770843
King Street Trio,3.5,43.46439537,-80.52208163
Waterloo Sogo Restaurant,3.5,43.4748473,-80.53630829
Busan Korean BBQ,2.5,43.4841189,-80.5265643
Kenzo Japanese Noodles House,3,43.47300611,-80.53534758
Cameron Chinese Seafood Restaurant,3.5,43.4453254,-80.4812478
Spring Rolls,3,43.4977272,-80.5283258
Nick and Nat's Uptown 21,4,43.4656754,-80.5226553
St Jacob's Farmer's Market,4,43.51138435,-80.5546888
Ye's Sushi,2.5,43.4504427,-80.4910563
Nuri Village,3.5,43.47182078,-80.538946
My-Thai Restaurant,4,43.4666534,-80.5228811
Foodie Fruitie,3,43.4724814,-80.5337054
Williams Fresh Cafe,3.5,43.47237192,-80.53860741
Moose Winooski's,3.5,43.408465,-80.395307
Abe Erb Brewing Company,3.5,43.4646547,-80.5225431
Angie's Waterloo,3.5,43.464582,-80.524143
Charcoal Steak House,3.5,43.4290777,-80.4327628
Sweet Dreams Teashop,4,43.47196654,-80.53910851
The Famous Owl Of Minerva Korean Restaurant & Bar,3.5,43.4654191,-80.5220724
Northern Thai,4,43.448627,-80.4902234
Sushi 99,3.5,43.5025807,-80.5323851
Burrito Boyz,3.5,43.4773799,-80.5250775
The Works,3.5,43.4631816,-80.5215754
168 Sushi Asian Buffet Bar,3.5,43.461748,-80.5374452
Ennio's Pasta House,3.5,43.483758,-80.5260207
Aunty's Kitchen,3.5,43.47217511,-80.53730613
Pho Dau Bo,4,43.4475684,-80.4843025
Symposium Café Restaurant & Lounge - Waterloo,3,43.4653383,-80.5222308
Wildcraft,3.5,43.4866257,-80.5276539
Borealis Grille & Bar,4,43.4078434,-80.3966505
The Guanaquita Restaurant,4,43.45150907,-80.4944061
Beertown,3.5,43.4636098,-80.5235285
Grace and Healthy Premium Dumplings,4,43.47262275,-80.53623017
Death Valley's Little Brother,4.5,43.4680417,-80.5229389
Bhima's Warung,4,43.47741773,-80.52500378
Vincenzo's,4.5,43.45939063,-80.519305
Morty's Pub,4,43.477593,-80.5250886
Watami Sushi & Sake Bar,4,43.465523,-80.522721
Taco Farm,4,43.4652318,-80.5228558
Mozy's Shawarma,4.5,43.4760346,-80.52570283
Ben Thanh,3.5,43.502488,-80.53118
The Lancaster Smokehouse,4.5,43.4796303,-80.4843976
Mel's Diner,3,43.47293495,-80.53556686
The Bauer Kitchen,4,43.4593947,-80.5190295
Bao Sandwich Bar,4.5,43.4764611,-80.52986797
Kinkaku Izakaya,4,43.45120447,-80.49323809
